3,7	0	7.2099609375	0.00023516666666666591
1,7	0	0.0048828125	0.0001912333333333368
2,3,5	0	19.66015625	0.022307033333333358
4	0	78.818359375	0.006868200000000027
2,3	0	14.2841796875	0.023086400000000028
3,5,6	1	129.2724609375	-0.1711088666666667
0,2	1	71.9384765625	0.030962633333333635
0	1	64.86328125	0.0005499999999999026
3	1	7.208984375	0.0002777000000004174
0,2,6	1	188.6259765625	-0.14116689999999998
1,2,6	2	123.7666015625	-0.45655050000000097
1,4	2	78.822265625	0.010170533333333509
0,7	2	64.8642578125	0.0015223333333326634
7	2	0.0009765625	0.00013903333333331602
4,5	2	84.1943359375	0.01604820000000018
1,5,7	0	5.380859375	0.0002949666666666646
3,4,6	0	202.71484375	-0.09237340000000005
2,5	0	12.451171875	0.05609336666666684
3	0	7.208984375	0.0001987333333331639
2,6	0	123.7626953125	-0.05068556666666679
5	1	5.3759765625	8.270000000010214e-05
2,5,6	1	129.138671875	-0.125013933333334
4	1	78.818359375	0.004190666666666233
1	1	0.00390625	0.00024913333333150456
2	2	7.0751953125	0.07540570000000103
1	2	0.00390625	0.00019049999999983436
6	2	116.6875	-0.05502396666666809
5,7	2	5.376953125	0.00023583333333239886
0,1,4	0	143.685546875	0.00864946666666666
2,4,5	0	91.26953125	0.031572
6	0	116.6875	-0.04401210000000022
0	0	64.86328125	0.0007309000000000527
0,4,5	1	149.0576171875	0.009221400000000083
6	1	116.6875	-0.030265833333333658
2,3,5	1	19.66015625	0.02831310000000009
1,3	2	7.212890625	0.00023476666666629353
3	2	7.208984375	0.00014183333333287845
0,1	2	64.8671875	0.00045066666666807964
4	2	78.818359375	0.010723466666667274
1	0	0.00390625	0.0002530333333333375
2	0	7.0751953125	0.03406636666666664
0,5	0	70.2392578125	0.0005544000000000289
7	0	0.0009765625	0.00013146666666667234
0,1	1	64.8671875	0.0005421999999999743
2,4,7	1	85.89453125	0.045681300000000036
5	2	5.3759765625	0.00015249999999999986
4,5,7	2	84.1953125	0.0077893999999999845
5	0	5.3759765625	0.00023493333333333513
1,2	0	7.0791015625	0.023082433333333333
2	1	7.0751953125	0.04514576666666667
0,3,5	1	77.4482421875	0.0005663999999999301
0,3,6	1	188.759765625	-0.019429633333333363
2,5	2	12.451171875	0.022864466666667013
3,7	2	7.2099609375	0.00024299999999991917
3,5	2	12.5849609375	0.0001875000000000071
2,5,6	2	129.138671875	-0.036746100000000226
4,5	0	84.1943359375	0.008610333333333333
1,3,5	0	12.5888671875	0.00022559999999999247
0,4,7	0	143.6826171875	0.009099333333333348
1,2,5	0	12.455078125	0.02610633333333335
2,3,4	1	93.1025390625	0.03908046666666669
0,2,4	1	150.7568359375	0.033337666666666634
2,3	1	14.2841796875	0.02209399999999999
0,2	0	71.9384765625	0.04062119999999998
0,5	2	70.2392578125	0.0004659666666666875
0,2,3	2	79.1474609375	0.029209666666666655
1,3,4	0	86.03125	0.005134899999999998
2,5	1	12.451171875	0.04951923333333336
1,6	1	116.69140625	-0.029966366666666744
4,7	1	78.8193359375	0.0039513333333331966
0,3,7	2	72.0732421875	0.0007449666666667909
